date,hits,keyword,geo,time,gprop,category,hits_num,month,year
2009-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2009
2009-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2009
2009-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2009
2009-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2009
2009-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2009
2010-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2010
2010-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2010
2010-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2010
2010-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2010
2010-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2010
2010-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2010
2010-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2010
2010-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2010
2010-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2010
2010-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2010
2010-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2010
2010-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2010
2011-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2011
2011-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2011
2011-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2011
2011-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2011
2011-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2011
2011-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2011
2011-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2011
2011-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2011
2011-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2011
2011-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2011
2011-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2011
2011-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2011
2012-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2012
2012-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2012
2012-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2012
2012-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2012
2012-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2012
2012-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2012
2012-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2012
2012-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2012
2012-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2012
2012-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2012
2012-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2012
2012-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2012
2013-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2013
2013-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2013
2013-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2013
2013-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2013
2013-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2013
2013-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2013
2013-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2013
2013-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2013
2013-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2013
2013-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2013
2013-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2013
2013-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2013
2014-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2014
2014-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2014
2014-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2014
2014-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2014
2014-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2014
